id,name,artists,duration (ms),popularity,url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0b11D9D0hMOYCIMN3OKreM,Into Your Arms (feat. Ava Max),Witt Lowry,186022,70,https://p.scdn.co/mp3-preview/bdb8e47f51b0280c493640f4ef938fbae78ce2f9?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.504,0.788,3,-4.113,0,0.214,0.0132,0,0.363,0.228,169.907,audio_features,spotify:track:0b11D9D0hMOYCIMN3OKreM,https://api.spotify.com/v1/tracks/0b11D9D0hMOYCIMN3OKreM,https://api.spotify.com/v1/audio-analysis/0b11D9D0hMOYCIMN3OKreM,186022,4
4DpNNXFMMxQEKl7r0ykkWA,Play Date,Melanie Martinez,179867,74,https://p.scdn.co/mp3-preview/02571c396fcc7c23b6af493d60ea9121c1f397b1?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.68,0.729,5,-5.077,1,0.0475,0.612,0,0.224,0.446,123.97,audio_features,spotify:track:4DpNNXFMMxQEKl7r0ykkWA,https://api.spotify.com/v1/tracks/4DpNNXFMMxQEKl7r0ykkWA,https://api.spotify.com/v1/audio-analysis/4DpNNXFMMxQEKl7r0ykkWA,179867,4
3yOlyBJuViE2YSGn3nVE1K,My Oh My (feat. DaBaby),Camila Cabello,170746,72,https://p.scdn.co/mp3-preview/ea3ba7014fbff5a201d98ddab8d94e13fe56bb16?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.724,0.491,8,-6.024,1,0.0296,0.018,1.29e-05,0.0887,0.383,105.046,audio_features,spotify:track:3yOlyBJuViE2YSGn3nVE1K,https://api.spotify.com/v1/tracks/3yOlyBJuViE2YSGn3nVE1K,https://api.spotify.com/v1/audio-analysis/3yOlyBJuViE2YSGn3nVE1K,170746,4
62usIcDxqFIQ7x5qN91hrN,I Need Your Love,Madilyn Bailey,199797,0,https://p.scdn.co/mp3-preview/51fe8c1224eab838a6bb692d0ceb3579de12082d?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.562,0.252,3,-7.428,1,0.0356,0.864,0,0.124,0.289,110.825,audio_features,spotify:track:62usIcDxqFIQ7x5qN91hrN,https://api.spotify.com/v1/tracks/62usIcDxqFIQ7x5qN91hrN,https://api.spotify.com/v1/audio-analysis/62usIcDxqFIQ7x5qN91hrN,199797,4
7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,Bella Poarch,122772,67,https://p.scdn.co/mp3-preview/a4418753144a9ae47dd009b4a6e53a7ece1fcc57?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.855,0.463,3,-7.454,1,0.0367,0.217,1.77e-05,0.347,0.866,102.931,audio_features,spotify:track:7BoobGhD4x5K96Me0hqC8Q,https://api.spotify.com/v1/tracks/7BoobGhD4x5K96Me0hqC8Q,https://api.spotify.com/v1/audio-analysis/7BoobGhD4x5K96Me0hqC8Q,122773,4
0i0wnv9UoFdZ5MfuFGQzMy,Last Hurrah,Bebe Rexha,150333,56,https://p.scdn.co/mp3-preview/f7ba20cfdeee8a4d8b27732e121336369cb0e48c?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.514,0.618,11,-4.585,0,0.0317,0.175,0,0.117,0.401,84.259,audio_features,spotify:track:0i0wnv9UoFdZ5MfuFGQzMy,https://api.spotify.com/v1/tracks/0i0wnv9UoFdZ5MfuFGQzMy,https://api.spotify.com/v1/audio-analysis/0i0wnv9UoFdZ5MfuFGQzMy,150333,4
0l0CvurVUrr2w3Jj1hOVFc,NO,Meghan Trainor,213506,72,https://p.scdn.co/mp3-preview/4975f83b20eedaba7dc1c5b805395bf45851913d?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.557,0.803,1,-3.599,0,0.213,0.0124,1.61e-06,0.737,0.657,92.134,audio_features,spotify:track:0l0CvurVUrr2w3Jj1hOVFc,https://api.spotify.com/v1/tracks/0l0CvurVUrr2w3Jj1hOVFc,https://api.spotify.com/v1/audio-analysis/0l0CvurVUrr2w3Jj1hOVFc,213507,4
1058fW9H3fZA6QjYCdOBad,Don't Go Yet,Camila Cabello,164842,65,https://p.scdn.co/mp3-preview/6af5e636aa35cc53f1b9d8476075c3d1f41c67ee?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.666,0.796,10,-6.967,0,0.103,0.0492,0,0.0442,0.61,110.108,audio_features,spotify:track:1058fW9H3fZA6QjYCdOBad,https://api.spotify.com/v1/tracks/1058fW9H3fZA6QjYCdOBad,https://api.spotify.com/v1/audio-analysis/1058fW9H3fZA6QjYCdOBad,164842,4
7gmHi5czs1e2nEJBSwwH1Y,Armor,Nightcore Dreams,184058,38,https://p.scdn.co/mp3-preview/562aced747a660d7fdafc8fa4c5d23d8d3a00693?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.566,0.477,10,-13.279,0,0.0307,0.164,0,0.0992,0.416,89.108,audio_features,spotify:track:7gmHi5czs1e2nEJBSwwH1Y,https://api.spotify.com/v1/tracks/7gmHi5czs1e2nEJBSwwH1Y,https://api.spotify.com/v1/audio-analysis/7gmHi5czs1e2nEJBSwwH1Y,184059,4
3fvY2U1AzW0diYF0hnBbKt,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,250456,58,https://p.scdn.co/mp3-preview/c3229dcccd8ec83cba57f7437fdc38898678fe21?cid=b52c7bdbb51648a6aaf15ccd0ae452c8,0.724,0.759,9,-3.996,0,0.0542,0.412,0,0.437,0.765,101.946,audio_features,spotify:track:3fvY2U1AzW0diYF0hnBbKt,https://api.spotify.com/v1/tracks/3fvY2U1AzW0diYF0hnBbKt,https://api.spotify.com/v1/audio-analysis/3fvY2U1AzW0diYF0hnBbKt,250456,4
